Compound_name;mean_c;median_c;Linear_6tR_st_61_c_pred;MLR_3tR_st61_c_pred;MLR_2tR_st61_c_pred;knn_st61_1tR_c_pred;knn_st20_1tR_c_pred;knn_3tR_st61_c_pred;knn_2tR_st61_c_pred;Cosine_c_pred;conc_M
9,10-Phenanthrenequinone;8.077800669219417e-9;1.7264935330701173e-8;7.920613029027633e-9;9.86479786449937e-9;9.081871714248795e-9;1.8150066992671076e-7;4.996830205340905e-9;5.6535568135664725e-9;5.6535568135664725e-9;1.8150066992671076e-7;1.8194541103643675e-7
Alachlor;6.526379885940879e-7;2.544003597052194e-6;6.97848284470823e-7;1.1620747328506615e-6;8.365076916409132e-7;6.031440540143924e-6;6.031440540143924e-6;5.612856690431999e-6;5.612856690431999e-6;6.031440540143924e-6;6.037630470141078e-6
Alachlor;3.6282609606415883e-7;1.4143076401053776e-6;3.879602063083352e-7;6.460412143082307e-7;4.6504620538489923e-7;3.353105493502903e-6;3.353105493502903e-6;3.120398929188973e-6;3.120398929188973e-6;3.353105493502903e-6;3.018815235070539e-6
Alachlor;1.8600847619886376e-7;7.250669449252979e-7;1.9889387115211647e-7;3.312031387452571e-7;2.3841321493703315e-7;1.7190220057110326e-6;1.7190220057110326e-6;1.599721343771179e-6;1.599721343771179e-6;1.7190220057110326e-6;1.5094076175352694e-6
Alachlor;3.669775395518902e-8;1.4304900986050718e-7;3.923992334054734e-8;6.534331952628524e-8;4.703672477845009e-8;3.391471609159087e-7;3.391471609159087e-7;3.1561024244839064e-7;3.1561024244839064e-7;3.391471609159087e-7;3.018815235070539e-7
Alachlor;1.803669969403202e-8;7.030762796908897e-8;1.928615887976473e-8;3.2115802856652374e-8;2.311823444169607e-8;1.6668855268344964e-7;1.6668855268344964e-7;1.5512031527469914e-7;1.5512031527469914e-7;1.6668855268344964e-7;1.5094076175352695e-7
Alachlor;4.312950630231496e-7;9.218203910279111e-7;4.2290240071825925e-7;5.132225195074685e-7;4.4756122788107766e-7;6.048545053985948e-6;6.048545053985948e-6;1.4127418219232064e-6;1.4127418219232064e-6;6.048545053985948e-6;6.037630470141078e-6
Alachlor;9.000635949783432e-7;3.1018152711529463e-6;8.965977958001183e-7;1.4185688880739107e-6;1.1713456755787364e-6;6.951710310192667e-6;6.951710310192667e-6;1.9637231395578563e-5;1.6502738363312947e-5;6.951710310192667e-6;6.037630470141078e-6
Alachlor;2.1233590985390386e-7;4.538321632498884e-7;2.0820402025119397e-7;2.526705728400189e-7;2.2034409545828295e-7;2.97782986043942e-6;2.97782986043942e-6;6.955234266862563e-7;6.955234266862563e-7;2.97782986043942e-6;3.018815235070539e-6
Alachlor;5.068022798161735e-7;1.7465510879003611e-6;5.048507789058942e-7;7.987590549859432e-7;6.595541272285359e-7;3.9143263359207564e-6;3.9143263359207564e-6;1.1057211619359425e-5;9.292260538476805e-6;3.9143263359207564e-6;3.018815235070539e-6
Alachlor;1.0524473701071891e-7;2.2494285917583813e-7;1.0319675730302968e-7;1.2523669692607378e-7;1.0921401092414128e-7;1.4759675871134831e-6;1.4759675871134831e-6;3.4473763847459395e-7;3.4473763847459395e-7;1.4759675871134831e-6;1.5094076175352694e-6
Alachlor;3.1437890784892717e-7;1.0834182192622183e-6;3.131683554317946e-7;4.95485141526998e-7;4.091337281682495e-7;2.4281296423871947e-6;2.4281296423871947e-6;6.858994624115639e-6;5.764162545980708e-6;2.4281296423871947e-6;1.5094076175352694e-6
Alachlor;2.2539382743415907e-8;4.817412577928857e-8;2.210078410377414e-8;2.6820893145948616e-8;2.3389448851129883e-8;3.1609560067064115e-7;3.1609560067064115e-7;7.382956906290565e-8;7.382956906290565e-8;3.1609560067064115e-7;3.018815235070539e-7
Alachlor;1.0923547042678867e-8;2.3347237818378494e-8;1.0710983418930949e-8;1.299854975363141e-8;1.1335525366251771e-8;1.5319342163077745e-7;1.5319342163077745e-7;3.578096081779095e-8;3.578096081779095e-8;1.5319342163077745e-7;1.5094076175352695e-7
Ametryn;3.859153674618453e-5;1.5043103529654804e-4;4.12648944500341e-5;1.2219347743473686e-5;2.0157666101165213e-5;2.4954781055230257e-005;2.247135653893955e-5;1.2038873404612393e-5;1.1159878104217624e-5;1.0794469313740758e-5;6.961467186778997e-6
Ametryn;2.3864430070950404e-5;9.302430597532694e-5;2.551759455615226e-5;7.5562621839770115e-6;1.2465199720567885e-5;1.5431663977136112e-5;1.3895951339018303e-5;7.444659547687018e-6;6.90110197917327e-6;6.675138639464911e-6;3.4807335933894985e-6
Ametryn;1.3843191557720486e-5;5.3961200133918316e-5;1.48021531829104e-5;4.383209008644359e-6;7.230767591098519e-6;8.951543357823939e-6;8.060712771722686e-6;4.318470958419995e-6;4.003166066528021e-6;3.8720900765586315e-6;1.7403667966947493e-6
Ametryn;3.236480140904161e-6;1.2615902328923613e-5;3.4606813478928337e-6;1.0247758871759535e-6;1.6905231437783663e-6;2.092833302727942e-6;1.8845608470008698e-6;1.0096404024838302e-6;9.359234408508623e-7;9.052784240051128e-7;3.480733593389499e-7
Ametryn;1.7173878653187527e-6;6.694432416225845e-6;1.8363567498812878e-6;5.437813911058252e-7;8.970498216480321e-7;1.1105294522943798e-6;1.0000129119253461e-6;5.357499814835469e-7;4.966332219593376e-7;4.803719202451005e-7;1.7403667966947495e-7
Ametryn;3.092733081435269e-5;6.610194882570665e-5;3.0325509310306025e-5;1.3495932912638188e-5;2.0305574121063464e-5;8.066797822831165e-6;6.111368739109571e-5;1.6448287692113122e-5;1.3304807768716926e-5;2.743632706556812e-5;6.961467186778997e-6
Ametryn;3.999614868101515e-5;1.37835443471149e-4;3.984213887548118e-5;1.678419334022497e-5;2.4188010024782843e-5;1.9144006208859573e-5;2.0080332352113947e-5;1.566147482588885e-5;1.5583496537863756e-5;2.6352415654523276e-5;6.961467186778997e-6
Ametryn;1.81970453074991e-5;3.8893112532593665e-5;1.7842945135004354e-5;7.94074678323919e-6;1.19474084101786e-5;4.746348346374946e-6;3.595811565633105e-5;9.677855426995305e-6;7.828292432612739e-6;1.6143005992997346e-5;3.4807335933894985e-6
Ametryn;2.4160766029752925e-5;8.326326434260924e-5;2.406773220023423e-5;1.013895041558837e-5;1.4611428105113838e-5;1.1564459832702416e-5;1.2130073213508953e-5;9.460741632075607e-6;9.413636717364925e-6;1.591889644239554e-5;3.4807335933894985e-6
