conc_M;mean_c;median_c;Linear_6tR_st_61_c_pred;MLR_6tR_st_61_c_pred;MLR_3tR_st61_c_pred;MLR_2tR_st61_c_pred;knn_st20_1tR_c_pred;knn_st61_1tR_c_pred;knn_st20_1tR_k_lagrer_than_one_c_pred;knn_3tR_st61_c_pred;knn_2tR_st61_c_pred;knn_6tR_st61_c_pred;knn_6tR_st20_k_larger_than_one_c_pred;Cosine_c_pred
0.0036131666645757136;6.144146820127583e-4;8.973098009787344e-4;5.460149133555077e-4;5.02208158109298e-4;4.679923721053821e-4;4.679923721053821e-4;2.1303421933168914e-4;0.009580595538381757;9.731915156776884e-4;4.7738158409232646e-4;6.018473715791983e-4;4.6304663675311047e-4;9.731915156776884e-4;0.006014574831179766
0.007226333329151427;0.001027452251604754;0.0015005223709538083;9.130710390889418e-4;8.398153851619059e-4;7.82598187397384e-4;7.82598187397384e-4;3.562455369786556e-4;0.010057846327006573;0.0016274152348542366;7.982992558763758e-4;0.0010064366219663511;7.74327703191365e-4;0.0016274152348542366;0.010057846327006573
0.018065833322878568;0.0020931453744097938;0.0030568928678240954;0.001860125781019525;0.0017108879620092012;0.0015943239925882934;0.0015943239925882934;7.25750220232965e-4;0.020490036868396438;0.003315401436668974;0.0016263105095371468;0.0020503319318393703;0.0015774752040115787;0.003315401436668974;0.020490036868396438
0.036131666645757135;0.003956078981362104;0.005777577501555328;0.0035156681398950036;0.0032336062218700605;0.003013298413799054;0.003013298413799054;0.001371679782534037;0.038726504701210425;0.006266162923386141;0.0030737534538241755;0.0038751608748878396;0.0029814539279049246;0.006266162923386141;0.038726504701210425
0.07226333329151427;0.0068342653585988285;0.009980968014421297;0.006073440164872883;0.005586168296839021;0.005205578822255246;0.005205578822255246;0.0023696249910650337;0.06690139675825442;0.010825016487383037;0.005310017026786273;0.0066944764882133165;0.005150566354649328;0.010825016487383037;0.06690139675825442
0.004996409663589432;1.471991635907508e-4;2.1497411447454645e-4;NA;NA;NA;NA;2.175739739072745e-4;0.006628349830152606;NA;NA;NA;NA;NA;NA
0.009992819327178864;2.4177559084947287e-4;3.530963918309353e-4;NA;NA;NA;NA;3.57366677987051e-4;0.010887108034103303;NA;NA;NA;NA;NA;NA
0.02498204831794716;5.863500883004965e-4;8.563234187588256e-4;NA;NA;NA;NA;8.666796447777943e-4;0.02640323092461356;NA;NA;NA;NA;NA;NA
0.04996409663589432;0.0012110657284522333;0.001768677050831077;NA;NA;NA;NA;0.0017900671224929249;0.05453405521928115;NA;NA;NA;NA;NA;NA
0.09992819327178865;0.0020166960156532843;0.0029452439100452333;NA;NA;NA;NA;0.002980863176020266;0.09081143103495744;NA;NA;NA;NA;NA;NA
